Kanis SF Data,DSM SF Data,Kanis BM Data,DSM BM Data
26.65,26.52,27.4,27.06
16.01,16.75,25.17,26.24
12.86,13.78,22.02,23.04
30.29,29.37,23.95,21.58
0,0,0,0
0,0.01,0,0.02
0.09,0.05,0,0.04
12.86,13.78,22.02,23.05
16.01,16.74,24.17,26.25
26.4,26.47,27.4,26.98
82.24,81.85,63.96,62.96
83.27,82.21,65.5,63.04
30.29,29.37,23.95,21.57
83.27,82.21,65.5,63.03
82.24,81.82,63.96,62.92
16.55,16.4,17.14,16.68
8.75,9.46,13.21,14.4
12.08,12.07,19.71,19.94
0.42,0.22,1.04,0.39
0.07,0.45,0.27,1
0.28,0.11,0.49,0.19
13.06,13.57,19.87,21.58
15.91,14.99,21.29,22.79
16.01,16.3,21.39,23.94
21.69,19.52,24.23,24.83
7.32,7.3,11.8,7.83
13.06,13.5,19.87,21.67
15.91,14.91,21.29,22.72
16.01,16.32,21.39,23.94
21.69,19.54,24.23,24.84
6.32,7.31,11.8,7.83
0.42,0.27,1.04,0.45
0.07,0.45,0.27,0.98
0,0.12,0.49,0.19
12.08,12.09,19.71,19.96
8.75,9.46,13.21,14.38
16.57,16.4,17.14,16.68
3.97,5.68,11.34,15.05
3.97,5.68,11.34,15.11
36.67,36.59,32.37,32.14
43.93,43.59,38.04,37.26
43.77,43.55,37.64,37.09
35.6,36.23,31.4,32.41
44.91,44.17,37.77,38.65
43.27,43.42,37.02,37.43
27.04,27.08,24.86,22.35
69.47,68.51,41.46,44.39
36.78,36.77,34.09,29.34
75.67,74.73,45.63,48.78
36.78,36.77,30.17,28.28
35.6,36.28,31.4,32.49
44.91,44.17,37.77,38.66
43.27,43.42,37.02,37.43
36.67,36.58,32.37,32.13
43.93,43.58,38.04,37.23
43.77,43.55,37.64,37.09
29.67,29.65,17.14,17.16
35.38,35.84,37.2,36.55
21.14,22.45,32.98,35.05
19.43,19.8,31.27,32.36
52.9,50.75,42.2,37.6
0,0.68,0,1.19
0,0.11,0,0.28
0.07,0.07,0,0.06
19.43,20.48,31.27,32.25
17.09,22.34,32.98,34.86
35.9,35.91,37.2,36.65
110.85,110.23,86.24,84.76
111.98,110.44,87.93,84.24
52.9,51.65,42.2,38.78
111.98,110.63,87.93,84.81
110.85,110.25,86.24,84.77
27.99,27.69,30.81,28.88
15.87,17.43,24.03,26.32
21.55,21.66,34.93,35.68
0.55,1.8,4.53,3.18
0.98,0.11,1.54,0.34
3.62,3.64,1.13,3.06
3.05,3.3,5.44,5.85
1.47,1.95,2.28,2.97
3,3,1.75,3.2
3.05,3.3,5.44,5.85
1.47,1.95,2.28,2.97
3,3,1.75,3.2
0.55,1.8,4.53,3.18
0.98,0.11,1.54,0.34
3.62,3.64,1.13,3.06
21.55,21.66,34.93,35.68
15.87,17.43,24.03,26.32
27.99,27.69,15.41,28.88
8.05,9.69,13.71,16.69
8.05,9.69,13.71,16.69
63.78,63.44,55.3,54.35
78.52,77.68,67.69,65.89
78.52,77.99,67.24,66.67
59.82,59.84,51.39,51.17
76.04,76.14,63.83,64.02
76.04,75.92,63.92,63.74
97.33,97.33,67.29,68.72
97.33,97.33,69.96,69.97
97.33,97.33,69.45,69.91
59.82,59.84,51.39,51.17
76.04,75.82,63.83,64.02
76.04,75.98,63.92,63.74
63.78,63.44,55.3,54.35
78.52,78,67.69,65.89
78.52,78.31,67.24,66.67
29.67,29.67,16.81,16.69
35.98,35.8,35.55,36.47
20.92,22.67,32.45,35.53
15.3,19.17,27.33,31.9
51.18,51.3,40.64,39.8
2.07,2.12,4.35,4.61
0.24,0.42,0.46,0.94
0.24,0.24,0.02,0.21
25.9,21.28,40.19,33.07
22.87,22.25,37.16,34.61
36.99,36.03,34.34,36.8
111.62,110.2,87.39,84.72
113.24,110.34,89.65,83.8
50.02,50.53,39.77,35.32
109.79,110.46,91.05,84.6
111.46,110.18,87.16,84.59
11.41,5.53,19.55,10.43
7.5,5.53,17.31,9.08
30.42,34.31,19.55,29.94
15.49,15.48,17.16,16.12
10.9,9.65,13.26,14.55
7.06,12.27,19.86,20.35
1.14,1.08,2.16,1.97
0.35,0.16,0.58,0.34
1.55,1.71,0.93,1.42
1.17,1.46,2.33,2.85
2.01,2.16,3.17,3.44
3.85,3.86,3.39,3.81
1.17,1.46,2.33,2.85
2.01,2.16,3.17,3.44
3.85,3.86,3.39,3.81
1.14,1.08,2.16,1.97
0.35,0.16,0.58,0.34
1.59,1.71,0.93,1.42
10.9,12.27,19.86,20.35
7.06,9.65,13.26,14.55
15.49,15.48,17.16,16.12
39.68,36.29,31.84,31.01
52.08,43.41,37.8,36.7
43.97,43.6,37.53,37.16
34.4,34.32,29.68,29.04
45.58,42.66,36.14,35.78
42.34,42.62,36.05,35.87
42.28,36.77,26.64,26.66
42.28,36.77,27.55,27.56
42.28,36.77,27.28,27.29
34.4,34.32,29.68,29.04
45.58,42.66,36.14,35.78
42.34,42.62,36.05,35.87
39.68,36.29,31.84,31.01
52.08,43.41,37.8,36.7
43.97,43.6,37.53,37.16